Package,Used_in_final_scripts,Exact_version,Evidence_class,Evidence_file,Evidence_location,Current_version_if_checked,Current_version_is_archived_evidence,Verification_status,Notes
R,NO (upstream final analysis dependency),4.5.2,ARCHIVED_EXACT,Archived revision sessionInfo files,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Exact R version in revision analysis records
Seurat,NO (upstream final analysis dependency),5.4.0,ARCHIVED_EXACT,R_sessionInfo_original_singlecell_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Original single-cell environment record
SeuratObject,YES,5.4.0,ARCHIVED_EXACT,R_sessionInfo_spatial_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision spatial record
harmony,NO (upstream final analysis dependency),1.2.4,ARCHIVED_EXACT,R_sessionInfo_original_singlecell_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Original epithelial analysis record
monocle3,NO (upstream final analysis dependency),1.4.26,ARCHIVED_EXACT,R_sessionInfo_original_scTenifold_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Archived analysis record
CellChat,NO (upstream final analysis dependency),2.2.0.9001,ARCHIVED_EXACT,CROSS_METHOD_ANALYSIS_LOCK_archived.md,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision cross-method run record
liana,NO (upstream final analysis dependency),1.8.1,ARCHIVED_EXACT,CROSS_METHOD_ANALYSIS_LOCK_archived.md,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision cross-method run record
SCENIC,NO (upstream final analysis dependency),1.3.1,ARCHIVED_EXACT,R_sessionInfo_SCENIC_CellChat_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Archived SCENIC environment
AUCell,NO (upstream final analysis dependency),1.28.0,ARCHIVED_EXACT,R_sessionInfo_SCENIC_CellChat_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Archived SCENIC environment
GENIE3,NO (upstream final analysis dependency),1.28.0,ARCHIVED_EXACT,R_sessionInfo_SCENIC_CellChat_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Archived SCENIC environment
scTenifoldKnk,NO (upstream final analysis dependency),1.0.3,ARCHIVED_EXACT,R_sessionInfo_original_scTenifold_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Archived five-run analysis record
scTenifoldNet,NO (upstream final analysis dependency),1.3,ARCHIVED_EXACT,R_sessionInfo_original_scTenifold_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Archived five-run analysis record
ggplot2,YES,4.0.3,ARCHIVED_EXACT,R_sessionInfo_revision_multiverse_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision analysis record
dplyr,NO (upstream final analysis dependency),1.2.1,ARCHIVED_EXACT,R_sessionInfo_revision_multiverse_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision analysis record
lme4,YES,2.0-6,ARCHIVED_EXACT,R_sessionInfo_revision_multiverse_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision analysis record
glmmTMB,NO (upstream final analysis dependency),1.1.14,ARCHIVED_EXACT,R_sessionInfo_revision_multiverse_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision analysis record
geepack,YES,1.3.13,ARCHIVED_EXACT,package_versions_donor_balanced_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision donor-balanced validation record
clubSandwich,YES,0.7.0,ARCHIVED_EXACT,package_versions_donor_balanced_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision donor-balanced validation record
survey,YES,4.5,ARCHIVED_EXACT,package_versions_donor_balanced_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision donor-balanced validation record
sandwich,YES,3.1-3,ARCHIVED_EXACT,R_sessionInfo_revision_multiverse_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision analysis record
metafor,NO (upstream final analysis dependency),5.0-1,ARCHIVED_EXACT,R_sessionInfo_revision_multiverse_archived.txt,environment/ archived evidence copy or documented project record,Not checked,NO,VERIFIED,Revision multiverse record
